Episode,Average_Reward,Critic_Loss,Actor_Loss
1,-3.1528996436322183,0.0,0.0
2,0.013819915687092177,0.0,0.0
3,-2.2036492499707783,0.0,0.0
4,-3.4056283549957103,0.0,0.0
5,-3.399808482217128,0.0,0.0
6,-1.6237388989497905,0.0,0.0
7,-0.5108772676959625,0.0,0.0
8,-0.20727333879700027,0.0,0.0
9,-1.0438350389845503,0.0,0.0
10,-2.9452845917782,0.0,0.0
11,-3.2027106437094552,0.0,0.0
12,-0.05882533263100187,0.0,0.0
13,-3.2366228574770735,0.28351491689682007,0.16381283104419708
14,-2.3002797120369975,0.24343864619731903,0.2721016123890877
15,-0.753264274955147,0.17355974167585372,0.18282292261719704
16,-2.391776558756603,0.0947143204510212,-0.13370588421821594
17,-3.3630729624335665,0.05601903647184372,-0.3617024660110474
18,-2.2844472797662143,0.03651215024292469,-0.3946706235408783
19,-2.5935184232684128,0.030738967563956977,-0.33966249972581863
20,-0.3735696840157534,0.018214467633515596,-0.216855026781559
21,-0.5336445059109869,0.018122115451842547,-0.1544434279203415
22,-2.307279510201325,0.01832131864503026,-0.13997747451066972
23,-0.5892227939341131,0.01582377599552274,-0.20612112283706666
24,-0.31185020336482094,0.010953511251136661,-0.3810414731502533
25,-0.030384832391194827,0.020372938178479672,-0.291829314827919
26,-5.00017324233651,0.02286707144230604,-0.10443845279514789
27,-3.5054623622121523,0.020677340775728227,-0.1139733161777258
28,-0.47759350566031067,0.021131642535328864,-0.11201116936281323
29,-1.613003064566442,0.024106474360451102,-0.17224961444735526
30,-3.9922045093217466,0.03799919486045837,-0.16502499133348464
31,-3.6574907636055367,0.029654842615127564,-0.26229483508504925
32,1.256971191067653,0.021414077188819648,-0.11437170207500458
33,-1.8407526731051602,0.019878068007528782,-0.3080259680747986
34,-2.1289601697305582,0.01808413853868842,-0.46058049201965334
35,-2.6921717557484435,0.016808384004980324,-0.5003583282232285
36,-3.852594815194161,0.019640073738992216,-0.29215585589408877
37,-3.982659994739732,0.016587060317397116,-0.09976320546120405
38,-4.272504709521936,0.016049614641815424,-0.10498516261577606
39,-3.22558104711871,0.009120002062991262,-0.034890378406271336
40,-1.2610107768342993,0.01602406380698085,-0.04992021918296814
41,-4.0842440427680655,0.014971610065549612,-0.12884256299585103
42,-0.1760294987530039,0.01994560956954956,-0.4139729142189026
43,-3.0661150117896048,0.023943384736776353,-0.37387376725673677
44,-2.656383669164641,0.024268089327961206,-0.28677021712064743
45,1.9333546415541842,0.020471773575991392,-0.4315312162041664
46,-0.03670604239837971,0.02730915993452072,-0.910474169254303
47,-3.3222836468795527,0.03704017121344805,-0.6079440683126449
48,-3.1384894568097867,0.03932345267385244,-0.15384925315156578
49,-0.034495126546042476,0.03642682190984488,-0.3644135482609272
50,-1.5225590915484062,0.03321752771735191,-0.3373869858682156
51,1.4488684500027789,0.02961661759763956,-0.5942846953868866
52,-3.046088463661655,0.029279975406825542,-0.5009286969900131
53,-2.5598933506365316,0.029690213687717914,-0.34673879444599154
54,-3.777857221623365,0.02375975102186203,-0.20562007874250413
55,-5.915996822075437,0.02059674123302102,-0.11260860282927751
56,-1.473780753510254,0.01840754672884941,-0.24828242212533952
57,-2.658303042323952,0.025750807113945486,-0.6698421955108642
58,-4.567870332467332,0.025375848822295665,-0.47254070043563845
59,-2.615653968676343,0.02798873707652092,-0.2265720834955573
60,-2.7998784047876564,0.026237484999001026,-0.33623336628079414
61,-0.7062908201125896,0.025733574852347375,-0.6333652228116989
62,-4.346210067738718,0.02838357351720333,-0.5030153319239616
63,2.970246183726271,0.028849171847105025,-0.2360037311911583
64,-0.36385363506175994,0.028582771494984626,-0.5430262446403503
65,-1.5866915765398337,0.024538486264646053,-0.4049883149098605
66,-1.3512051702657342,0.030817202292382717,-0.4259568125009537
67,0.2553414505747873,0.029049192368984223,-0.42797039821743965
68,-0.5761771746048325,0.026119832322001456,-0.5441776156425476
69,-2.5015352084187996,0.030674102902412414,-0.578026470541954
70,-0.11288942232069532,0.033727725688368085,-0.6493157237768173
71,-3.361741868153765,0.04385684728622437,-0.37759712636470794
72,-0.19931104144674894,0.03531232550740242,-0.31706968396902085
73,-4.44894799289208,0.03444139268249273,-0.20095121264457702
74,-2.1987766871366645,0.030589146353304387,-0.2398751825094223
75,-1.4267571621421067,0.028578502126038074,-0.23462955057621002
76,-0.45156700845579556,0.03539978731423617,-0.5028301179409027
77,2.233891960247803,0.028879730589687826,-0.5423313111066819
78,-5.254484928119292,0.0319910354912281,-0.46119607537984847
79,-0.2167607604867332,0.0372752794995904,-0.2727028176188469
80,-3.2314462758726155,0.04059953317046165,-0.2621088199317455
81,3.5206250691176635,0.04874271415174007,-0.3630946397781372
82,-1.449697396949434,0.044133254513144496,-0.34811202585697176
83,-2.4236404436043237,0.039284073561429975,-0.5188519954681396
84,-0.4657953207326968,0.03682170826941729,-0.46423645615577697
85,-4.351732142014617,0.038710114918649195,-0.43152758181095124
86,-1.3643201872963298,0.04364800341427326,-0.32478691786527636
87,-0.467464979995422,0.038782062008976936,-0.296050937473774
88,2.0587330479620167,0.03793443012982607,-0.46109420955181124
89,0.3221065192748964,0.03718927353620529,-0.9578483521938324
90,-1.3835225470190013,0.05928069893270731,-1.006818950176239
91,-2.862758855415615,0.05107798986136913,-0.4929539978504181
92,-2.5307333297999013,0.047755776345729826,-0.3103099070489407
93,0.7518109287021112,0.04061347711831331,-0.0013405417092144489
94,-3.6538036429471803,0.03973427545279264,-0.16018540859222413
