Episode,Average_Reward,Critic_Loss,Actor_Loss
1,0.6989676625507443,0.0,0.0
2,-3.002880416770685,0.0,0.0
3,-1.894473068166914,0.0,0.0
4,3.7616426026132057,0.0,0.0
5,-1.7892437726831478,0.0,0.0
6,-1.362701003077671,0.0,0.0
7,-0.09957737337507477,0.0,0.0
8,-2.470455276152509,0.0,0.0
9,-2.1170996803188666,0.0,0.0
10,-3.228939683379666,0.0,0.0
11,-3.7341765731536674,0.0,0.0
12,-0.3363900848834013,0.0,0.0
13,-2.779767385105761,0.29364339510599774,0.05328238382935524
14,-0.5770615717490645,0.27446951270103453,0.12995538413524627
15,-1.2961962233292283,0.2557187184691429,0.10875265821814536
16,1.4012180828641845,0.2510851815342903,0.1285378634929657
17,0.2540691465888488,0.25759070813655854,0.08839804455637931
18,-1.3899796981899233,0.258771975338459,0.06601700484752655
19,-2.185706232464284,0.2513464480638504,0.04402805827558041
20,-1.8867004501664566,0.24590310752391814,0.030189225822687148
21,0.2844435191966258,0.23342526704072952,0.01989730419591069
22,-0.38597235010625863,0.22194549292325974,0.005068499862682074
23,-0.8799178242530079,0.23103553354740142,-0.012006193539127708
24,-0.7595455621973612,0.2282879874110222,-0.01805378794670105
25,-0.3891844940268562,0.23013669550418853,-0.0400157917290926
26,-2.166870342718049,0.21442850828170776,-0.06174463927745819
27,-1.3505491355975776,0.2171675980091095,-0.09438102841377258
28,-4.094985750447758,0.2095628038048744,-0.140222205221653
29,-1.8031143370908986,0.20595542341470718,-0.2079228639602661
30,-2.4575318116309752,0.21986384093761444,-0.2844730392098427
31,-2.5708644146305946,0.21250915825366973,-0.408995121717453
32,-2.3162662169568176,0.21342377960681916,-0.5858929574489593
33,-0.7163211658731327,0.20209907740354538,-0.8820198893547058
34,-1.6095259157681707,0.21119740903377532,-1.3523735284805298
35,-0.180870240076774,0.19622152298688889,-1.964199960231781
36,-2.699361361710441,0.2052134320139885,-2.7748850345611573
37,-2.9626427798441726,0.21292499154806138,-3.8453155994415282
38,-1.4474107081363574,0.1988962322473526,-5.058712911605835
39,-1.2841550375351962,0.19929350912570953,-6.266793298721313
40,-1.844025219463962,0.20759998112916947,-7.824287462234497
41,-2.3311844737789915,0.188828644156456,-9.451987171173096
42,-1.3549985694704618,0.18559314608573912,-11.658501815795898
43,1.4401315971212907,0.1998056262731552,-14.383656883239746
44,1.0789283121048645,0.20211909264326094,-17.636827278137208
45,0.45576216819091386,0.19677323400974273,-21.207846641540527
46,-2.653434784405867,0.2118726596236229,-25.528422546386718
47,2.325761836836265,0.2030123695731163,-28.394616508483885
48,-0.5035834148764681,0.2136409193277359,-33.96626243591309
49,-0.8284711324643634,0.21620146334171295,-39.04795799255371
50,0.2234547143900859,0.2074495866894722,-46.680549240112306
51,1.395726471407579,0.20527927130460738,-55.38623237609863
52,-0.40972072728862896,0.20674303621053697,-66.79812698364258
53,0.6876233845554237,0.21022743433713914,-79.29384994506836
54,2.862892086009749,0.21066170334815978,-85.67302169799805
55,-5.192360429258196,0.21103601902723312,-97.28909835815429
56,-2.8044455953882172,0.21407223045825957,-113.33215408325195
57,-1.4139957428019079,0.20072926431894303,-135.85026779174805
58,-1.9295961233323036,0.20641083568334578,-164.93856658935547
59,-1.5415029815242152,0.19389700293540954,-195.65433654785156
60,-1.10207405363647,0.2088549554347992,-231.714990234375
61,-0.6538704352515277,0.20565544217824935,-277.6164855957031
62,-3.0985420907167462,0.19379256218671798,-341.14453125
63,-5.0248910050689055,0.19399246275424958,-389.61769409179686
64,0.8605980289775257,0.20011651664972305,-429.4541442871094
65,-1.7042146649368535,0.19058765470981598,-493.3561065673828
66,-2.632595818690696,0.19695863425731658,-573.532763671875
67,-2.856380944353515,0.2016281172633171,-632.6787109375
68,-3.4178665537850335,0.197189499437809,-707.8184020996093
69,0.3810913344647978,0.21050141006708145,-792.9761352539062
70,-2.172919756049942,0.19898538291454315,-885.5277709960938
71,-2.3405298816392794,0.201741586625576,-1035.9841735839843
72,-2.924267193131418,0.20984717160463334,-1275.98544921875
73,-2.1929418030732837,0.2130498468875885,-1547.7558959960938
74,-2.881943632261532,0.22640345096588135,-1859.3774658203124
75,1.7542516849443368,0.22429396212100983,-2066.435400390625
76,-0.36778266335827636,0.2344375193119049,-2393.0952392578124
77,-2.3827120472621592,0.23426829576492308,-2843.1060546875
78,-1.321899072525337,0.2715584933757782,-3341.5755859375
79,0.47038253126369534,0.31698201298713685,-3806.4630126953125
80,0.40265549044522697,0.35298171043396,-4325.78203125
81,-2.0548782117399895,0.4416752099990845,-4948.382763671875
82,1.1242032464066143,0.491385692358017,-5989.954052734375
