Episode,Average_Reward,Critic_Loss,Actor_Loss
1,1.1145892093521756,0.0,0.0
2,-0.9969902795729648,0.0,0.0
3,3.8610157711369224,0.0,0.0
4,-2.3404331702744043,0.0,0.0
5,-1.7523160582816346,0.0,0.0
6,-0.019904870215049497,0.0,0.0
7,-3.2202559763264262,0.0,0.0
8,1.066117855533477,0.0,0.0
9,0.11319113806894043,0.0,0.0
10,-4.902728396800621,0.0,0.0
11,-2.4500459244549186,0.0,0.0
12,-1.2762580087434139,0.0,0.0
13,-1.100095057185503,0.2476618985335032,0.008934738114476204
14,0.23412369141947909,0.24563182443380355,0.16014982089400293
15,-1.9248806913094874,0.22767089754343034,0.38200624883174894
16,-2.2381391090703717,0.23392653912305833,0.44584467113018034
17,-0.6863479259654347,0.22915205359458923,0.2089621491730213
18,-2.365166230455754,0.231336310505867,0.0056229046662338075
19,-0.19898917144973427,0.21732244044542312,-0.07144574746489525
20,-0.5160398865024103,0.2118133157491684,-0.10723375082015991
21,-0.6199495223843596,0.19713371992111206,-0.14114727303385735
22,3.1021125672384624,0.2019173875451088,-0.16838154643774034
23,2.563565674926746,0.1940225765109062,-0.20624649077653884
24,-0.3757043944666929,0.18944528102874755,-0.27449014484882356
25,-1.102097301998572,0.19886766821146012,-0.3223404288291931
26,-1.0543263652614656,0.19491416811943055,-0.22150347679853438
27,-0.5269171486918349,0.1967710494995117,-0.01822702302597463
28,0.09508105639208586,0.1956687778234482,0.0006239152513444424
29,-2.4843144130860413,0.20496259927749633,-0.3857965886592865
30,-4.658878838269402,0.20286904871463776,-0.4818124324083328
31,1.1884279049771596,0.2026634395122528,-0.4534351140260696
32,-5.853693124650793,0.19941994696855544,-0.11893287878483534
33,-1.6760283721613927,0.20635005235671997,0.1511165104806423
34,-1.7480562277180027,0.1951575830578804,0.11699061505496502
35,2.771257739939694,0.19279650449752808,0.2186610370874405
36,-2.9075863622514135,0.2088094413280487,0.19809699952602386
37,-0.06583831657399175,0.20300388485193252,-0.13144693728536366
38,-0.3686167471207925,0.21188449561595918,-0.2793877750635147
39,0.26545513585082503,0.21404419243335723,-0.24645639061927796
40,-2.9430375010297722,0.19984609633684158,0.010144960973411799
41,-2.00792485045785,0.19634535610675813,0.058333357144147155
42,-3.301321364765823,0.2003403812646866,-0.2779091760516167
43,-0.7175996243684652,0.17723428606987,-0.5051708728075027
44,-1.0330361738868614,0.19160642474889755,-0.8132120370864868
45,-2.076437725126935,0.17117805629968644,-1.289889633655548
46,-1.928450427785021,0.19448547214269638,-0.2467935536056757
47,0.10265159233392573,0.1720822870731354,0.5500484704971313
48,-3.477072525131839,0.18264010697603225,0.3728934496641159
49,-0.898025059919141,0.19007371813058854,0.36456263065338135
50,-0.9338166214827419,0.16686406284570693,0.12754083424806595
51,-0.8537878645925585,0.18355707824230194,0.264802822470665
52,-2.9811383217739893,0.17902240604162217,-0.40860005700960755
53,2.6596733655067304,0.1779370576143265,-0.22324062511324883
54,-5.096207565989512,0.2029658630490303,0.05359865501523018
55,-1.0189805756718444,0.17996189892292022,0.34797223210334777
56,1.8613001310380308,0.19812098443508147,0.13486767578870057
57,-2.284390595417979,0.18141350150108337,-0.38484564125537873
58,-4.414014612498994,0.18781557381153108,-0.43411068320274354
59,-1.2934368661531066,0.18943520933389663,-0.3661674618721008
60,-0.14008641796587962,0.1887217327952385,-0.5388987362384796
61,-1.8131243015748337,0.19776054322719575,-0.46909136772155763
62,2.325180250408012,0.1949765831232071,-0.5739731758832931
63,-3.056087502609264,0.21014294475317002,-0.3644412085413933
64,-1.7764330488237845,0.19548935890197755,-0.352195805311203
65,-1.3023959589985785,0.18187668770551682,-0.7075175106525421
66,-2.4444369102073344,0.19708985686302186,-0.3236724490299821
67,-1.6935851665577677,0.18130628913640975,0.014350975397974253
68,-0.1659058270395658,0.18134215325117112,0.003590911440551281
69,0.4182392586087511,0.19933366775512695,0.051778121199458835
70,-1.0439140370317554,0.17793481647968293,0.047299024742096664
71,-4.2825580595839625,0.1895987495779991,-0.2092386033385992
